episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
17.051123952565526,-18.261949971587086,-0.7671947791970052,204.15,20,19,7600,False,20,1,acfa10f7fcc8444280431f0996688255,2020-12-20_10-49-02,1608490142,9.685511350631714,9.685511350631714,117,3f3932e995dd,172.17.0.2,9.685511350631714,0,1,fdea9_00000,0,"[-7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784]","[202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202]",1.0209310679067105,0.16154012180623273,1.1787202887404291,0.057395110998367735,1538.604,4939.544,8138.991,933.777,2.841,7600,7600,23.95,47.885714285714286,0.0,0.19999999999999993,7.999999999999998e-06,0.28258095135291417,-0.2171511595447858,0.9907471845547359,0.004342862,0.0538608081638813,0.6413638512293498,0.010000000000000002
102.14451317469045,-18.261949971587086,5.334434916097098,219.0,21,19,15200,False,41,2,acfa10f7fcc8444280431f0996688255,2020-12-20_10-49-12,1608490152,9.440090894699097,19.12560224533081,117,3f3932e995dd,172.17.0.2,19.12560224533081,0,2,fdea9_00000,0,"[102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244, -7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784]","[561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232, 202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202]",1.1193231623961615,0.16388857287641986,1.232187768323091,0.05787813990628284,1455.359,5222.079,8099.237,938.36,3.004,15200,15200,19.885714285714283,48.085714285714296,0.0,0.3000000000000001,7.999999999999998e-06,0.21756950356066226,-0.2646000980089108,0.9059577335913976,0.01470942,0.11180676172176997,0.43512957940498986,0.010000000000000002
102.14451317469045,-18.261949971587086,5.334434916097098,219.0,0,19,22800,False,41,3,acfa10f7fcc8444280431f0996688255,2020-12-20_10-49-21,1608490161,8.960407972335815,28.086010217666626,117,3f3932e995dd,172.17.0.2,28.086010217666626,0,3,fdea9_00000,0,"[-7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244]","[202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232]",1.1193231623961615,0.16388857287641986,1.232187768323091,0.05787813990628284,1337.6,5681.819,8016.385,948.058,3.074,22800,22800,17.161538461538463,48.16923076923078,0.0,0.45000000000000007,7.999999999999998e-06,0.16036010631360115,-0.16237851188828548,0.6141217524806658,0.045826957,0.04178732944031557,0.31265560289223987,0.010000000000000002
374.0537435064246,-18.261949971587086,97.51385177312702,428.19642857142856,15,19,30400,False,56,4,acfa10f7fcc8444280431f0996688255,2020-12-20_10-49-30,1608490170,9.01567530632019,37.101685523986816,117,3f3932e995dd,172.17.0.2,37.101685523986816,0,4,fdea9_00000,0,"[335.5283188746793, 342.3352446601262, 344.3580607492789, 356.0499782214569, 350.99390633210083, 330.2953502481749, 349.5654655953619, 341.4128035560445, 350.1694822032775, 372.11782565376114, 358.4967131962871, 328.5666034116139, 339.47480978244784, 368.6455617440957, 374.0537435064246, -7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232]",1.1158402914259715,0.164135493374594,1.2389233309163485,0.05779970050483494,1247.306,6093.13,8020.155,947.613,3.127,30400,30400,16.623076923076923,48.20000000000001,0.0,0.6749999999999997,7.999999999999998e-06,0.09650089191272855,-0.08215657356195152,0.3477555960416794,0.028809285,0.010301712962488333,0.21739875997106234,0.010000000000000002
458.2676036778411,-18.261949971587086,120.252428133564,466.31666666666666,4,19,38000,False,60,5,acfa10f7fcc8444280431f0996688255,2020-12-20_10-49-39,1608490179,9.174628973007202,46.27631449699402,117,3f3932e995dd,172.17.0.2,46.27631449699402,0,5,fdea9_00000,0,"[458.2676036778411, 450.56091492366915, 404.279249430956, 441.2622206862607, -7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244, 335.5283188746793, 342.3352446601262, 344.3580607492789, 356.0499782214569, 350.99390633210083, 330.2953502481749, 349.5654655953619, 341.4128035560445, 350.1694822032775, 372.11782565376114, 358.4967131962871, 328.5666034116139, 339.47480978244784, 368.6455617440957, 374.0537435064246]","[1000, 1000, 1000, 1000, 202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.1082810862538417,0.16392610366177698,1.234911742034183,0.05773084817753891,1180.442,6438.267,8066.762,942.138,3.086,38000,38000,17.453846153846158,48.20000000000001,0.0,0.6749999999999997,7.999999999999998e-06,0.050058674548442164,-0.07807619399391115,0.2504274471352498,0.02132523,0.006737869240654012,0.16269163464506467,0.010000000000000002
540.1902449965442,-18.261949971587086,127.13665463951448,475.0655737704918,1,19,45600,False,61,6,acfa10f7fcc8444280431f0996688255,2020-12-20_10-49-48,1608490188,9.21668815612793,55.49300265312195,117,3f3932e995dd,172.17.0.2,55.49300265312195,0,6,fdea9_00000,0,"[540.1902449965442, -7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244, 335.5283188746793, 342.3352446601262, 344.3580607492789, 356.0499782214569, 350.99390633210083, 330.2953502481749, 349.5654655953619, 341.4128035560445, 350.1694822032775, 372.11782565376114, 358.4967131962871, 328.5666034116139, 339.47480978244784, 368.6455617440957, 374.0537435064246, 458.2676036778411, 450.56091492366915, 404.279249430956, 441.2622206862607]","[1000, 202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.1054330794254796,0.16390999473475126,1.2364308968572184,0.05777869291096398,1144.066,6642.972,8096.744,938.649,3.101,45600,45600,17.49230769230769,48.20769230769232,0.0,0.6749999999999997,7.999999999999998e-06,0.024382969799141088,-0.05924160225937764,0.16347229688738782,0.001333944,0.004516885677973429,0.11604755607744058,0.010000000000000002
560.8607572360852,-18.261949971587086,222.29694888811383,594.6708860759494,18,19,53200,False,79,7,acfa10f7fcc8444280431f0996688255,2020-12-20_10-49-57,1608490197,8.715572834014893,64.20857548713684,117,3f3932e995dd,172.17.0.2,64.20857548713684,0,7,fdea9_00000,0,"[560.8607572360852, 540.541530055259, 539.6525179043572, 539.9968647749395, 557.1094684152652, 545.027658803212, 532.6834192330173, 535.6416954468214, 552.4557496738139, 558.9988410297974, 530.4125511903228, 550.7187055992381, 547.0989269633917, 543.1213048899945, 534.5582637900188, 526.071351457829, 557.6607478131568, 553.5126748740888, -7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244, 335.5283188746793, 342.3352446601262, 344.3580607492789, 356.0499782214569, 350.99390633210083, 330.2953502481749, 349.5654655953619, 341.4128035560445, 350.1694822032775, 372.11782565376114, 358.4967131962871, 328.5666034116139, 339.47480978244784, 368.6455617440957, 374.0537435064246, 458.2676036778411, 450.56091492366915, 404.279249430956, 441.2622206862607, 540.1902449965442]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.070835459058622,0.1637470784539015,1.2299583827993967,0.05763393566880691,1105.399,6875.344,8059.215,943.02,3.074,53200,53200,15.941666666666668,48.20000000000001,0.0,0.33749999999999986,7.999999999999998e-06,0.011564611969515682,-0.04719410016356657,0.11669110941390197,0.032856077,0.0035917399024280408,0.07990557874242464,0.010000000000000002
560.8607572360852,-18.261949971587086,222.29694888811377,594.6708860759494,0,19,60800,False,79,8,acfa10f7fcc8444280431f0996688255,2020-12-20_10-50-06,1608490206,8.91364073753357,73.12221622467041,117,3f3932e995dd,172.17.0.2,73.12221622467041,0,8,fdea9_00000,0,"[-7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244, 335.5283188746793, 342.3352446601262, 344.3580607492789, 356.0499782214569, 350.99390633210083, 330.2953502481749, 349.5654655953619, 341.4128035560445, 350.1694822032775, 372.11782565376114, 358.4967131962871, 328.5666034116139, 339.47480978244784, 368.6455617440957, 374.0537435064246, 458.2676036778411, 450.56091492366915, 404.279249430956, 441.2622206862607, 540.1902449965442, 560.8607572360852, 540.541530055259, 539.6525179043572, 539.9968647749395, 557.1094684152652, 545.027658803212, 532.6834192330173, 535.6416954468214, 552.4557496738139, 558.9988410297974, 530.4125511903228, 550.7187055992381, 547.0989269633917, 543.1213048899945, 534.5582637900188, 526.071351457829, 557.6607478131568, 553.5126748740888]","[202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.0708354590586215,0.1637470784539015,1.2299583827993967,0.05763393566880691,1076.446,7060.269,8055.757,943.425,3.134,60800,60800,15.592307692307692,48.20769230769232,0.0,0.16874999999999993,7.999999999999998e-06,0.015726900628457465,-0.04161894723462562,0.11374927181750535,0.017064413,0.006083200902988513,0.055532971893747646,0.010000000000000002
585.3283313824893,-18.261949971587086,279.5247292099342,659.3510638297872,15,19,68400,False,94,9,acfa10f7fcc8444280431f0996688255,2020-12-20_10-50-15,1608490215,8.842980146408081,81.96519637107849,117,3f3932e995dd,172.17.0.2,81.96519637107849,0,9,fdea9_00000,0,"[580.9605443642929, 580.7436790653949, 575.4522371119376, 582.5692643517932, 583.3896229516188, 581.6869970937098, 581.6252338069908, 575.7075909685534, 579.4148335566242, 574.6549769562203, 584.8847143603859, 585.3283313824893, 584.3227570242689, 582.3072581874242, 580.8175423911289, -7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244, 335.5283188746793, 342.3352446601262, 344.3580607492789, 356.0499782214569, 350.99390633210083, 330.2953502481749, 349.5654655953619, 341.4128035560445, 350.1694822032775, 372.11782565376114, 358.4967131962871, 328.5666034116139, 339.47480978244784, 368.6455617440957, 374.0537435064246, 458.2676036778411, 450.56091492366915, 404.279249430956, 441.2622206862607, 540.1902449965442, 560.8607572360852, 540.541530055259, 539.6525179043572, 539.9968647749395, 557.1094684152652, 545.027658803212, 532.6834192330173, 535.6416954468214, 552.4557496738139, 558.9988410297974, 530.4125511903228, 550.7187055992381, 547.0989269633917, 543.1213048899945, 534.5582637900188, 526.071351457829, 557.6607478131568, 553.5126748740888]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.04290978306564,0.16355383730744857,1.226001263660403,0.057561266125608745,1052.268,7222.496,8046.895,944.464,3.095,68400,68400,15.50769230769231,48.23076923076924,0.0,0.16874999999999993,7.999999999999998e-06,0.0020826629440610605,-0.027332025533542036,0.05792714589818691,-0.013283482,0.004118621217397352,0.024390144801388184,0.010000000000000002
589.8340247344534,-18.261949971587086,291.93502568334856,673.2551020408164,4,19,76000,False,98,10,acfa10f7fcc8444280431f0996688255,2020-12-20_10-50-24,1608490224,8.796508550643921,90.76170492172241,117,3f3932e995dd,172.17.0.2,90.76170492172241,0,10,fdea9_00000,0,"[589.8340247344534, 586.1107686109658, 582.2191140417383, 576.1440638471759, -7.103766926498025, -11.940111724762602, -14.95333870891605, -2.825842722258173, 16.702711560447135, 9.216383961082428, -5.775901892999784, 17.051123952565526, -2.0193055257368115, 3.752650672064064, 1.4020458902910349, -18.261949971587086, 1.10400355027501, 4.6701713023552855, 9.099047289890414, -9.742761188700186, 4.316374871360821, 0.8564654706942321, -10.218227436903959, -0.6736680066033784, 102.14451317469045, -10.704642085423885, 11.911082380109818, 5.059218056687982, 13.34281126694085, 23.85849028116658, -7.2900554031101805, -5.808797849894276, -10.252915164375494, -2.1651644874967957, 17.3443674822067, 3.2234940969427583, 21.025958033657908, 10.62983036808496, -5.528761914089458, -5.485960077146231, 10.8923451094116, -3.6355505258224383, 27.791921973815, 10.688399456615002, 27.015142970950244, 335.5283188746793, 342.3352446601262, 344.3580607492789, 356.0499782214569, 350.99390633210083, 330.2953502481749, 349.5654655953619, 341.4128035560445, 350.1694822032775, 372.11782565376114, 358.4967131962871, 328.5666034116139, 339.47480978244784, 368.6455617440957, 374.0537435064246, 458.2676036778411, 450.56091492366915, 404.279249430956, 441.2622206862607, 540.1902449965442, 560.8607572360852, 540.541530055259, 539.6525179043572, 539.9968647749395, 557.1094684152652, 545.027658803212, 532.6834192330173, 535.6416954468214, 552.4557496738139, 558.9988410297974, 530.4125511903228, 550.7187055992381, 547.0989269633917, 543.1213048899945, 534.5582637900188, 526.071351457829, 557.6607478131568, 553.5126748740888, 580.9605443642929, 580.7436790653949, 575.4522371119376, 582.5692643517932, 583.3896229516188, 581.6869970937098, 581.6252338069908, 575.7075909685534, 579.4148335566242, 574.6549769562203, 584.8847143603859, 585.3283313824893, 584.3227570242689, 582.3072581874242, 580.8175423911289]","[1000, 1000, 1000, 1000, 202, 196, 193, 203, 225, 208, 201, 216, 207, 206, 198, 197, 208, 208, 210, 195, 208, 203, 197, 202, 561, 206, 221, 211, 224, 227, 212, 209, 200, 208, 228, 209, 224, 216, 206, 207, 217, 208, 241, 229, 232, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.0352306183755533,0.16338542986963217,1.2238320272363825,0.05752693945293961,1035.087,7342.376,8033.049,946.092,3.084,76000,76000,16.808333333333334,48.225,0.0,0.08437499999999996,7.999999999999998e-06,-0.004304451122879982,-0.019417619363715253,0.030006981284047166,-0.3085662,0.002808716322761029,0.012730769766494631,0.010000000000000002
